// Duolingo
准备[準備]	zhun3bei4	verb 1 prepare; get ready 2 intend; plan
澳[澳]	ao4	deep bay; cove; harbor
越来越[越來越]	yue4lai2yue4	adverb more and more
后天[後天]	hou4tian1	noun day after tomorrow  noun post-natal; acquired (opp. 先天) medicine
堵[堵]	du3	verb stop up; block up  adjective stifled; suffocated; oppressed  noun archaic wall  measure word [of walls]
概[概]	gai4	1 (bound form) general; approximate 2 without exception; categorically 3 (bound form) bearing; deportment
刚[剛]	gang1	adjective firm; strong; unyielding; indomitable (opp. 柔)  adverb 1 just; exactly; precisely 2 barely; only; just; no more than 3 only a short while ago; just
迟到[遲到]	chi2//dao4	verb be (or come, arrive) late
附[附]	fu4	verb 1 add; attach; enclose 2 get close to; be near 3 depend on; rely on; comply with
园[園]	yuan2	noun 1 garden; plot; plantation; land for growing plants 2 place for public recreation 3 area for special purposes
馆[館]	guan3	1 building 2 shop 3 term for certain service establishments 4 embassy or consulate 5 schoolroom (old) M: 家jiā [家]
戚[慼]	qi1	1 variant of 戚qī [戚] 2 grief 3 sorrow
秋[鞦]	qiu1	used in 秋千qiūqiān [秋千]
越[越]	yue4	verb 1 get over; jump over 2 exceed; overstep 3 pass; go through 4 (of one's voice or emotion) be at a high pitch 5 literary plunder; pillage; loot  adjective superior  adverb [in 越…越…] the more… the more…  noun 1 one of the Warring States into which China was divided during the Eastern Zhou period (770-256 BC), comprising parts of modern Zhejiang and Jiangsu provinces 2 name for eastern Zhejiang Province 3 abbreviation Vietnam
方[方]	fang1	noun 1 square 2 mathematics involution; power 3 abbreviation (usu. 平方米或立方米) square or cubic (usu. square or cubic metre) 4 (Fāng) a surname  adjective upright; honest  measure word [for square things]  noun 1 direction 2 side; party 3 place; region; locality  noun 1 method; way 2 prescription  adverb literary 1 just when; at the time when 2 only; just
旧[舊]	jiu4	noun dated friendship; old friend  adjective 1 past; bygone; old (opp. 新) 2 used; worn; old (opp. 新) 3 former; onetime
角[角]	jiao3	noun 1 horn 2 bugle; horn 3 sth. in the shape of a horn 4 cape; promontory; headland 5 corner 6 mathematics angle 7 archaic astronomy jiao (first of the twenty-eight constellations (二十八宿) into which the celestial sphere was divided, consisting of four stars in the shape of a cross in Virgo)  measure word quarter  measure word jiao (a fractional unit of money in China, equal to 1/10 of a yuan or 10 fen)  VARIANT OF 24004608饺jiao3饺 noun dumpling
折[折]	zhe2	noun 1 discount; rebate 2 turning stroke  measure word an act of zaju (杂剧)  verb 1 break; snap 2 suffer the loss of; lose 3 bend; twist 4 turn back; change direction 5 convinced; filled with admiration 6 convert into; amount to  noun folded booklet with a slipcase, used for keeping accounts, etc.; folder  verb fold
换[換]	huan4	verb 1 exchange; barter; trade 2 change 3 exchange; convert 4 colloquial transplant (an organ) 5 colloquial transfuse (blood)
退[退]	tui4	verb 1 move back; retreat (opp. 进) 2 cause to move back; withdraw; remove 3 withdraw from; quit 4 decline; recede; ebb 5 fade 6 return; give back; refund 7 cancel; break off
货[貨]	huo4	noun 1 money 2 goods; commodity 3 pejorative [in reference to a person]  verb literary sell
皮[皮]	pi2	noun 1 skin; rind; peel 2 leather; hide; fur 3 cover; wrapper 4 surface 5 broad, flat piece (of some thin material); sheet 6 rubber 7 (Pí) a surname  adjective 1 become soft and soggy 2 naughty 3 case-hardened; apathetic 4 tenacious; sticky
款[款]	kuan3	1 section 2 paragraph 3 funds M: 笔bǐ [笔] / 个gè [个] 4 classifier for versions or models (of a product)
退款[退款]	tui4kuan3	1 to refund 2 refund
退货[退貨]	tui4huo4	1 to return merchandise 2 to withdraw a product
亚[亞]	ya4	1 second 2 next to 3 inferior 4 sub- 5 Taiwan pr. [yǎ]
利[利]	li4	adjective 1 sharp (opp. 钝) 2 favourable; smooth; convenient 3 fluent; eloquent  noun 1 advantage; benefit (opp. 弊, 害) 2 profit; interest  verb 1 do good to; benefit 2 literary sharpen; perfect
打[打]	da3	verb 1 strike; hit; knock 2 break; smash 3 beat; fight; attack 4 deal with sb. or sth. 5 construct; build 6 make (articles of daily use) 7 mix; stir; beat 8 tie up; pack 9 knit; weave 10 draw; paint; make a mark on 11 spray; spread 12 open; dig 13 hold up; hoist; raise 14 send; dispatch; project 15 dialect issue or receive (a certificate, etc.) 16 remove; get rid of 17 ladle; draw 18 buy 19 catch; hunt 20 gather in; collect; reap 21 estimate; calculate; reckon 22 work out 23 do; engage in 24 play 25 go through (or perform) (some physical action) 26 adopt; use 27 [used to give a clue to the answer when setting a riddle] 28 take  preposition dialect from; since
样[樣]	yang4	noun 1 appearance; shape; look; form 2 manner; air; appearance 3 sample; model; pattern 4 tendency; likelihood  measure word kind; type
袋[袋]	dai4	noun 1 bag; sack; pocket 2 (of marsupials) pouch  measure word bagful
经[經]	jing1	noun 1 textile warp (opp. 纬) 2 Chinese medicine channels 3 geography longitude (opp. 纬) 4 scripture; sutra; canon; classic 5 menses; menstruation 6 (Jīng) a surname  verb 1 literary manage; deal in; engage in 2 hang oneself  adjective constant; regular  verb 1 pass through; undergo; experience 2 stand; bear; endure  preposition as a result of; after; through
新[新]	xin1	adjective 1 new; fresh; up-to-date (opp. 老, 旧) 2 brand new; unused (opp. 旧) 3 recently married or just being married  adverb newly; freshly; recently  noun 1 (Xīn) Xin Dynasty (8-23 AD, between the Western Han and the Eastern Han) 2 (Xīn) a surname 3 the new
习惯[習慣]	xi2guan4	1 habit 2 custom 3 usual practice 4 to be used to M: 个gè [个]
总是[總是]	zong3shi4	always
刷牙[刷牙]	shua1//ya2	verb brush (or clean) one's teeth
北方[北方]	bei3fang1	noun 1 north 2 the northern part of China, esp. the area north of the Huang He River; the North
辣[辣]	la4	adjective 1 peppery; hot 2 vicious; ruthless  verb (of smell or taste) burn; bite; sting
一边[一邊]	yi1bian1	noun 1 one side; side 2 either side  adverb at the same time; simultaneously  adjective dialect same; equal
洗澡[洗澡]	xi3//zao3	verb have (or take) a bath; bathe
梦[夢]	meng4	noun 1 dream 2 fancy; illusion  verb dream; have a dream
讲[講]	jiang3	noun lecture; speech  verb 1 speak; say; tell 2 explain; make clear; interpret 3 discuss; negotiate 4 stress; pay attention to; be particular about 5 as far as sth. is concerned; when it comes to; as to; as regards
故事[故事]	gu4shi5	noun 1 story; tale 2 plot
饺[餃]	jiao3	dumplings with meat filling
极[極]	ji2	noun 1 utmost point; extremity 2 pole  verb literary do one's utmost  adjective extreme; of the highest degree  adverb extremely; to the greatest extent; exceedingly
苦[苦]	ku3	adjective 1 bitter (opp. 甘, 甜) 2 hardship; suffering; pain 3 dialect cut off too much; be worn out  verb 1 cause sb. suffering; give sb. a hard time 2 suffer from; be troubled by  adverb painstakingly; doing one's utmost  meaningful bound form picr(o)-
其他[其他]	qi2ta1	pronoun other; else
南[南]	nan2	noun 1 south 2 (Nán) a surname
咸[咸]	xian2	1 all 2 everyone 3 each 4 widespread 5 harmonious
盐[鹽]	yan2	noun 1 (table) salt 2 chemistry salt (a product formed by the neutralization of an acid by a base)
除[除]	chu2	verb 1 get rid of; eliminate; remove 2 mathematics divide 3 dated appoint to office  preposition 1 except 2 besides  noun literary steps to a house; doorsteps
除了…以外[除了…以外]	chu2le5… yi3wai4
极了[極了]	ji2le5	1 extremely 2 exceedingly
饮料[飲料]	yin3liao4	noun beverage; drink (esp. a soft drink)
蓝[藍]	lan2	noun 1 VARIANT OF 25880832蓼蓝liao3lan2蓼蓝 botany indigo plant (Polygonum tinctorium) 2 (Lán) a surname  adjective blue
久[久]	jiu3	adjective 1 specified duration of time 2 for a long time; long (opp. 暂)
初[初]	chu1	noun 1 the beginning of; the early part of 2 original 3 (Chū) a surname  adjective 1 first (in order) 2 elementary; rudimentary  adverb for the first time; just beginning
级[級]	ji2	noun 1 level; rank; grade; class 2 any of the yearly divisions of a school course; grade; class; form 3 literary step 4 linguistics degree  measure word [for steps, etc.]
镜[鏡]	jing4	1 mirror 2 lens
戴[戴]	dai4	verb 1 put on; wear 2 respect; honour  noun (Dài) a surname
先[先]	xian1	noun 1 elder generation; ancestor; forebear 2 beginning (opp. 后) 3 term of respect for the dead; deceased; late 4 (Xiān) a surname  adverb 1 earlier; before; first; in advance (opp. 后) 2 [with a negative word “不”,“别”,etc.] for the time being; for the moment 3 colloquial earlier on; before; at first
直[直]	zhi2	adjective 1 straight (opp. 弯,曲) 2 vertical; perpendicular (opp. 横) 3 just; upright 4 frank; straightforward 5 stiff; numb  verb straighten  noun vertical stroke (in Chinese characters)  adverb 1 directly; straight 2 continuously 3 just; simply
址[址]	zhi3	(bound form) site; location
聊[聊]	liao2	adverb literary 1 merely; just; tentatively 2 a little; slightly  verb colloquial chat; gab  verb literary rely (or depend, draw) on
迷[迷]	mi2	noun fan; enthusiast; fiend  verb 1 be confused; lose one's way; lost 2 be fascinated by; be crazy about 3 confuse; perplex; fascinate; enchant
自[自]	zi4	pronoun self; oneself; one's own  adverb certainly; of course; naturally  preposition from; since
己[己]	ji3	1 self 2 oneself 3 sixth of the ten Heavenly Stems 十天干shítiāngān [十天干] 4 sixth in order 5 letter "F" or Roman "VI" in list "A, B, C", or "I, II, III" etc 6 hexa
长[長]	zhang3	adjective 1 older; elder; senior 2 eldest; oldest 3 chief; head  verb 1 grow; develop 2 come into being; begin to grow; form 3 acquire; enhance; increase
轻[輕]	qing1	verb belittle; make light of  adjective 1 of little weight; light (opp. 重) 2 (of load, equipment, etc.) small; simple 3 small in number, degree, etc. 4 not serious; relaxing; light 5 not important 6 gentle; soft 7 rash
眼镜[眼鏡]	yan3jing4	noun eyeglasses; glasses; spectacles
老[老]	lao3	adjective 1 old; aged (opp. 少, 幼) 2 old; of long standing (opp. 新) 3 outdated; old-fashioned; obsolete (opp. 新) 4 original; former; same 5 (of vegetables) overgrown (opp. 嫩) 6 (of food) tough; overdone; well-done (opp. 嫩) 7 experienced; veteran; seasoned 8 (of certain colours) dark 9 colloquial last born; youngest  noun 1 senior person; old people; venerable old man 2 (Lǎo) a surname  verb dialect euphemistic [followed by 了 le, usu. of an old person] pass away; die  adverb colloquial 1 for a long time 2 always; all the time 3 very  affix 1 [in terms of address before the surnames of acquaintances or friends to indicate intimacy or informality] 2 [in kinship terms before numerals to indicate order of seniority] 3 [in certain names of animals and plants]
年轻[年輕]	nian2qing1	adjective young
比较[比較]	bi3jiao3	V. 1 compare; contrast 2 confer  ADV. relatively; fairly  N. comparison
左[左]	zuo3	noun 1 the left side; the left (opp. 右) 2 east (opp. 右) 3 the Left; left wing (opp. 右) 4 VARIANT OF 37117952佐zuo3佐 II assistant  (Zuǒ) a surname  adjective 1 strange; unorthodox; heretical 2 wrong; incorrect 3 different; contrary; opposite 4 progressive; revolutionary (opp. 右)  verb VARIANT OF 37117952佐zuo3佐 I assist
然后[然後]	ran2hou4	conjunction then; after that; afterwards
往[往]	wang3	verb go  preposition in the direction of; towards; to  adjective past; previous literary
围[圍]	wei2	verb enclose; surround; encompass  noun all round; around  measure word arm span
般[般]	ban1	1 sort 2 kind 3 class 4 way 5 manner
周[週]	zhou1	1 week 2 weekly 3 variant of 周zhōu [周]
周围[周圍]	zhou1wei2	environs; surroundings; periphery
地址[地址]	di4zhi3	noun address
旅游[旅遊]	lü3you2	verb tour; tourism
初中[初中]	chu1zhong1	noun abbreviation = 18907648初级中学chu1ji2zhong1xue2初级中学 junior middle school; junior high school
吃货[吃貨]	chi1huo4	1 chowhound 2 foodie 3 a good-for-nothing
忘记[忘記]	wang4ji4	verb 1 forget 2 overlook; neglect
带[帶]	dai4	noun 1 belt; girdle; ribbon; band; tape 2 tyre 3 zone; area; belt 4 VARIANT OF 17012992白带bai2dai4白带 medicine leucorrhoea; whites  verb 1 take; bring; carry 2 do sth. incidentally 3 bear; have 4 have sth. attached 5 lead; head 6 train; teach; tutor 7 look after; bring up; raise 8 drive; spur on; bring along
护照[護照]	hu4zhao4	noun passport
需要[需要]	xu1yao4	noun need  verb need; want; require; demand
签证[簽證]	qian1zheng4	noun visa; visé  verb grant a visa
飞机[飛機]	fei1ji1	noun aircraft; aeroplane; plane
行李[行李]	xing2li5	noun luggage; baggage
海关[海關]	hai3guan1	noun customhouse; customs
几乎[幾乎]	ji1hu1	adverb almost; nearly; practically
证[証]	zheng4	1 to admonish 2 variant of 证zhèng [证]
签[簽]	qian1	verb 1 sign; autograph 2 make brief comments on a document  noun 1 bamboo slips used for divination or drawing lots 2 label; sticker 3 slender pointed piece of bamboo or wood  verb (of sewing) tack
离开[離開]	li2//kai1	verb leave; depart from; deviate from
检查[檢查]	jian3cha2	verb 1 check up (or out); inspect; examine 2 VARIANT OF 23772672检讨jian3tao3检讨1 make a self-criticism  noun self-criticism
提[提]	ti2	verb 1 (dī) carry; hold (sth. with a handle) 2 lift; raise; promote 3 shift to an earlier time; move up a date 4 put forward; bring up; raise 5 draw (or take) out; extract 6 summon (a prisoner) for interrogation 7 mention; refer to; bring up  noun 1 dipper 2 rising stroke (in Chinese characters)
努力[努力]	nu3li4	verb (-//-) make great efforts; try hard; exert oneself  adjective strenuous; arduous
紧[緊]	jin3	verb tighten  adjective 1 tight; taut; close 2 urgent; pressing; tense 3 strict; stringent 4 hard up; short of money
怪[怪]	guai4	noun monster; demon  adjective 1 strange; odd; queer; bewildering 2 find sth. strange; wonder at  adverb colloquial quite; rather  verb blame
啤[啤]	pi2	beer
奇[奇]	qi2	1 strange 2 odd 3 weird 4 wonderful 5 surprisingly 6 unusually
难过[難過]	nan2guo4	adjective 1 difficult; hard 2 sorry; bad; sad
紧张[緊張]	jin3zhang1	adjective 1 nervous; keyed up 2 tense; intense; strained 3 in short supply; tight
生气[生氣]	sheng1//qi4	verb take offence; get angry  noun biod; vigour; vim; vitality
看起来[看起來]	kan4qi5lai5	adverb seem; appear; look as if (or though)
奇怪[奇怪]	qi2guai4	verb feel surprised; wonder  adjective strange; surprising; odd
哭[哭]	ku1	verb cry; weep; wail
怕[怕]	pa4	verb 1 fear; dread; afraid of 2 cannot withstand; affected by 3 afraid something might happen; anxious about; concerned for (or about)  adverb [expressing supposition, judgement, estimation, etc.] I am afraid (that); I suppose; perhaps
遇[遇]	yu4	noun 1 chance; opportunity 2 (Yù) a surname  verb 1 meet; encounter; run into 2 literary treat; receive
经常[經常]	jing1chang2	adjective day-to-day; everyday; daily  adverb frequently; constantly; regularly; often
关心[關心]	guan1xin1	verb concerned about; show solicitude for; care for; express interest in
热情[熱情]	re4qing2	noun ardency; ardour; enthusiasm; zeal; warmth  adjective warm; fervent; enthusiastic; warm-hearted
遇到[遇到]	yu4//dao4	verb run into; encounter; come across
向上[向上]	xiang4shang4	adverb upward; up  verb advance; make one's way up (or forward)
借[借]	jie4	verb 1 borrow 2 lend  verb 1 make use of; take advantage of (an opportunity, etc.) 2 use as a pretext
向[嚮]	xiang4	noun 1 direction 2 (Xiàng) a surname  verb face; turn towards (opp. 背)  literary shortly before; towards
清楚[清楚]	qing1chu5	verb be clear about; understand  adjective clear; distinct
留学[留學]	liu2//xue2	verb study abroad
打算[打算]	da3suan5	verb plan; intend  noun consideration; calculation
愿意[願意]	yuan4yi5	verb 1 wish; like; want 2 be willing; be ready
结婚[結婚]	jie2//hun1	verb marry; get married; be married
选择[選擇]	xuan3ze2	noun choice  verb select; choose; opt
机会[機會]	ji1hui5	noun chance; opportunity
搬[搬]	ban1	verb 1 take away; move; remove 2 move (house) 3 apply indiscriminately; copy mechanically
变[變]	bian4	verb 1 become different; change 2 change into; become 3 transform; change; alter 4 unexpected turn of events 5 sell off (property) 6 be flexible 7 changeable; changed  noun abbreviation VARIANT OF 17608960变文bian4wen2变文 literature popular form of narrative literature that flourished in the Tang Dynasty (618-907), with alternate prose and rhyme for recitation and singing (often on Buddhist themes)
算[算]	suan4	verb 1 calculate; count; reckon; compute; figure 2 include; count in 3 plan; calculate 4 guess; think; suppose 5 consider; regard as; count as 6 carry weight; count 7 [followed by 了] let it be; let it pass  adverb at long last; in the end; finally
变化[變化]	bian4hua4	noun change; variation  verb change; vary
选[選]	xuan3	noun 1 person or thing selected 2 selections; anthology  verb 1 select; choose; pick (up) 2 elect
婚[婚]	hun1	1 to marry 2 marriage 3 wedding 4 to take a wife
择[擇]	ze2	1 to select 2 to choose 3 to pick over 4 to pick out 5 to differentiate 6 to eliminate 7 also pr. [zhái]
认真[認真]	ren4zhen1	adjective conscientious; earnest; serious  (-//-) verb take seriously; take to heart
愿[愿]	yuan4	1 honest and prudent 2 variant of 愿yuàn [愿]
害[害]	hai4	noun evil; harm; calamity (opp. 利, 益 )  verb 1 do harm to; impair; cause trouble to 2 kill; murder 3 contract (an illness); suffer from 4 feel (ashamed, afraid, etc.)  adjective harmful; destructive; injurious (opp. 益)
放心[放心]	fang4//xin1	verb 1 set one's mind at rest; be at ease; rest assured; feel relieved 2 have confidence in sb.; trust sb.
害怕[害怕]	hai4pa4	verb be afraid; be scared
分手[分手]	fen1//shou3	verb 1 say good-bye; part 2 part (company); end a friendship or relationship 3 break up
当然[當然]	dang1ran2	adverb without doubt; certainly; of course  adjective 1 natural 2 ex officio
环境[環境]	huan2jing4	noun environment; surroundings; circumstances
安静[安靜]	an1jing4	adjective quiet; peaceful; silent; calm  verb quiet down
声音[聲音]	sheng1yin1	noun sound; noise; voice
影响[影響]	ying3xiang3	noun influence; effect  verb affect; influence  adjective dated groundless; hearsay; gossip
层[層]	ceng2	measure word 1 storey; floor 2 a component part in a sequence 3 layer; stratum  noun layer; tier
阳[陽]	yang2	1 positive (electric.) 2 sun 3 male principle (Taoism) 4 Yang, opposite: 阴yīn [阴]
楼[樓]	lou2	noun 1 storied building; tower 2 storey; floor 3 superstructure 4 [in the names of certain kinds of shops, restaurants, etc.] 5 ornamental archway; ceremonial gateway 6 (Lóu) a surname
最后[最後]	zui4hou4	noun 1 final; last; ultimate 2 finally; last; lastly
邻居[鄰居]	lin2ju1	noun neighbour
脏[臟]	zang4	noun internal organs of the body, usu. the heart, liver, spleen, lungs, and kidneys; viscera
丢[丟]	diu1	verb 1 lose; mislay 2 throw; cast; toss 3 put (or lay) aside
垃圾桶[垃圾桶]	la1ji1tong3	1 rubbish bin 2 trash can 3 garbage can 4 Taiwan pr. [lèsètǒng]
桶[桶]	tong3	noun 1 tub; pail; bucket; keg; barrel 2 barrel (of petroleum)
脏[髒]	zang1	1 dirty 2 filthy 3 to get (sth) dirty
静[靜]	jing4	adjective still; quiet; calm
垃圾[垃圾]	la1ji1	noun 1 rubbish; garbage; refuse 2 figurative junk (圾圾 jī)
重[重]	zhong4	noun weight  verb lay stress on; attach importance to  adjective 1 heavy; weighty; important 2 considerable in amount or value 3 deep; heavy; serious; strong 4 discreet; careful
突然[突然]	tu1ran2	adjective sudden; abrupt; unexpected  adverb suddenly; abruptly; unexpectedly
小姐[小姐]	xiao3jie3	noun 1 dated young (unmarried) lady 2 Miss 3 euphemistic prostitute; street girl
经理[經理]	jing1li3	noun manager; director  verb handle; manage
相[相]	xiang1	1 each other 2 one another 3 mutually 4 fret on the neck of a pipa 琵琶pípa [琵琶] (a fret on the soundboard is called a 品pǐn [品])
解[解]	jie3	verb 1 separate; divide 2 untie; undo 3 allay; dispel; dismiss 4 literary explain; interpret; solve 5 understand; comprehend 6 relieve oneself  noun mathematics solution
决[決]	jue2	1 to decide 2 to determine 3 to execute (sb) 4 (of a dam etc) to breach or burst 5 definitely 6 certainly
相信[相信]	xiang1xin4	verb believe in; convinced; trust; have faith in
办法[辦法]	ban4fa3	noun way; means; measure
解决[解決]	jie3jue2	verb 1 solve; resolve; settle 2 dispose of; finish off
会议[會議]	hui4yi4	noun 1 meeting; conference 2 council; congress
江[江]	jiang1	noun 1 river 2 (Jiāng) Chang Jiang River 3 (Jiāng) a surname
动物[動物]	dong4wu4	noun animal
熊猫[熊貓]	xiong2mao1	panda M: 只zhī [只]
料[料]	liao4	verb 1 suppose; expect; anticipate 2 manage; take care of  noun 1 material; stuff 2 (grain) feed; forage; fodder 3 makings; material; stuff 4 opaque coloured glassware  measure word [for pills of Chinese medicine] prescription
骑[騎]	qi2	verb 1 ride (an animal, bicycle, etc.); sit on the back of 2 straddle  noun 1 horse; horse rider 2 cavalryman; cavalry
自行车[自行車]	zi4xing2che1	noun bicycle; bike
爬山[爬山]	pa2shan1	verb 1 (-//-) climb a mountain 2 colloquial sports mountain climbing; mountaineering
功夫[功夫]	gong1fu5	noun 1 skill 2 kung fu 3 VARIANT OF 21658112工夫gong1fu5工夫 a time b spare (or free) time c dialect period of time d effort; work
特别[特別]	te4bie2	adjective special; particular; out of the ordinary  adverb 1 especially; particularly 2 for a special purpose; specially; deliberately 3 all the more; in particular
读[讀]	du2	verb 1 read; read aloud 2 attend school 3 (of computers) read; read data; examine information computing computing 4 be pronounced in a certain way
历史[歷史]	li4shi3	noun 1 history 2 past events 3 personal records 4 history (as a course of study) 5 historical record (or document, data)
或者[或者]	huo4zhe3	adverb perhaps; maybe  conjunction 1 or; either... or... 2 no matter what, how, etc.
一般[一般]	yi1ban1	adjective 1 same as; just like 2 general; ordinary; common 3 average; mediocre  noun one kind
了解[瞭解]	liao3jie3	1 to understand 2 to realize 3 to find out
兴趣[興趣]	xing4qu4	noun interest; taste
为了[為了]	wei4le5	preposition for; for the sake of; in order to
感[感]	gan3	noun sense; sensation; feeling; impression  verb 1 feel; sense; be aware 2 move; touch; affect 3 thankful; grateful; be obliged 4 Chinese medicine affected (by cold); catch cold 5 photography sensitize
将[將]	jiang1	verb 1 literary support; take; bring 2 take care of (one's health) 3 literary do sth.; handle (a matter) 4 chess check 5 put sb. on the spot 6 incite sb. to action; challenge; prod 7 dialect (of domestic animals) give birth to; breed  adverb usually literary 1 be going to; be about to; will; shall 2 certainly; no doubt 3 besides; and; also 4 just; barely  preposition 1 with; by means of; by 2 [used in the same way as 把 2]  auxiliary dialect [between a verb and its complement of direction]
麻将[麻將]	ma2jiang4	noun mah-jong
腿[骽]	tui3	1 hip bone 2 old variant of 腿tuǐ [腿]
